elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
43663,1,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.774099231,-5.96046377e-08,-0.63306433,0,0.27845791,0.898067713,-0.340493172,0,0.568534613,-0.439857244,-0.695193529,0,-508.105499,-389.152435,403.599213,0.163967431
43810,2,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.781378448,-0.0240365211,-0.623594463,0,0.266067863,0.891054869,-0.367735058,0,0.564495862,-0.453258634,-0.689855754,0,-508.105469,-389.152435,403.599274,0.163967431
43933,3,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.785084248,-0.0213938449,-0.619019449,0,0.269461334,0.888074994,-0.372442514,0,0.557703614,-0.459200531,-0.691448927,0,-508.04361,-389.009583,403.524689,0.163967431
44033,4,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.786832631,-0.0254238229,-0.616642416,0,0.268904865,0.885200918,-0.379617602,0,0.555503845,-0.464513719,-0.689668417,0,-508.041321,-389.000214,403.519714,0.163967431
44167,5,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.783275068,-0.026971573,-0.621090055,0,0.270122468,0.885054529,-0.379094034,0,0.559923351,-0.464705259,-0.685955524,0,-508.039459,-388.995575,403.516266,0.163967431
44288,6,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.784183204,-0.0229246002,-0.620105803,0,0.271816194,0.885652065,-0.376479208,0,0.557828546,-0.463783443,-0.688282132,0,-508.037872,-388.992035,403.515137,0.163967431
44400,7,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.782425761,-0.0237860791,-0.622289419,0,0.272278816,0.885629654,-0.376197308,0,0.560066283,-0.463782698,-0.686463058,0,-508.037994,-388.989349,403.516174,0.163967431
44511,8,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.78026706,-0.0182972439,-0.625178814,0,0.275346637,0.887446642,-0.369625032,0,0.561575949,-0.460547119,-0.687407315,0,-508.038757,-388.986328,403.520294,0.163967431
44654,9,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.784603357,-0.0128425956,-0.61986506,0,0.273327559,0.890222251,-0.364412397,0,0.556497693,-0.455345422,-0.69496119,0,-508.038513,-388.986115,403.520325,0.163967431
44756,10,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.783141375,-0.0207473934,-0.621497571,0,0.269679755,0.889234841,-0.369505376,0,0.560323596,-0.456980258,-0.690801442,0,-508.129181,-388.894531,403.688507,0.163967431
44867,11,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.77922076,-0.0253719557,-0.626235843,0,0.269940406,0.888169825,-0.371869117,0,0.56563884,-0.458814502,-0.685231447,0,-508.289062,-388.719604,404.018433,0.163967431
44988,12,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.780293405,-0.0290515833,-0.624738514,0,0.271422863,0.884215117,-0.380122781,0,0.563446462,-0.466175616,-0.68206197,0,-508.542236,-388.4617,404.488129,0.163967431
45102,13,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.777131915,-0.0355415456,-0.628333449,0,0.271211594,0.882023394,-0.385329902,0,0.567900062,-0.469863504,-0.675809264,0,-508.769073,-388.252045,404.853058,0.163967431
45206,14,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.778730035,-0.0354265496,-0.626358032,0,0.272145569,0.880497813,-0.388150126,0,0.565257728,-0.472724736,-0.676028907,0,-509.038696,-388.025482,405.228668,0.163967431
45328,15,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.780367672,-0.0310774837,-0.624548197,0,0.273813993,0.880941451,-0.385963887,0,0.562185228,-0.472203791,-0.67894882,0,-509.341797,-387.806793,405.557648,0.163967431
45444,16,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.950118482,0.16238527,-0.266281992,0,0.258787811,0.88698554,-0.382472932,0,0.174080297,-0.432305098,-0.884764612,0,-509.650238,-387.550751,405.979492,0.163967431
45556,17,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.915081203,0.337172925,0.221226156,0.00790436752,0.240564108,0.896690786,-0.371584147,-0.0578889512,-0.323659509,-0.286810517,-0.90165633,-1.42617655,-509.755554,-387.350891,406.419464,0.271112829
45661,18,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.62336731,0.415418774,0.662450373,0,0.228517354,0.906999767,-0.353738964,0,-0.747792125,-0.0691279322,-0.660324454,0,-509.64325,-387.20462,406.895325,0.163967431
45772,19,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.273798347,0.3897385,0.879282951,0,0.229443625,0.914290369,-0.333809376,0,-0.934018314,0.110349402,-0.339754224,0,-509.291534,-387.161621,407.29657,0.163967431
45878,20,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.279815704,0.388050228,0.878134549,0,0.2307062,0.915048659,-0.330848664,0,-0.931921601,0.110014409,-0.345570475,0,-508.902893,-387.162354,407.613708,0.163967431
45990,21,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.282332867,0.385272712,0.878551722,0,0.230671868,0.916205406,-0.327656001,0,-0.931170583,0.110149071,-0.347546458,0,-508.483673,-387.169189,407.939545,0.163967431
46100,22,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.284398228,0.386074841,0.87753284,0,0.232711405,0.915755272,-0.327471942,0,-0.930033863,0.111079395,-0.350283086,0,-508.133453,-387.1763,408.208099,0.163967431
46209,23,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.296166778,0.387350112,0.873066425,0,0.233183086,0.915739357,-0.327180862,0,-0.926234841,0.10668423,-0.361535013,0,-507.714966,-387.184662,408.529236,0.163967431
46328,24,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625392079,0.410828799,0.66340369,0,0.229992241,0.909459651,-0.346390754,0,-0.745646298,-0.0640523285,-0.663256347,0,-507.315948,-387.172302,408.88855,0.163967431
46429,25,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624408126,0.410978615,0.664237142,0,0.230325729,0.90945375,-0.34618479,0,-0.746367574,-0.0631697178,-0.662529349,0,-506.9729,-387.142914,409.246582,0.163967431
46529,26,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625998914,0.410957366,0.662751436,0,0.23235181,0.90956527,-0.344534159,0,-0.744404554,-0.0616865009,-0.66487354,0,-506.690491,-387.103027,409.583344,0.163967431
