elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
3681,1,tracked_1690,0000000146dfea50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3681,1,copied_2700,0000000146dfea50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3681,1,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
3784,2,tracked_1690,0000000146dfea50,0.999668717,-0.0251153372,0.00566710532,1,0.0250062346,0.999514878,0.0185649898,1,-0.00613062084,-0.0184171256,0.999811769,1,0.0237859227,1.13703763,-0.0325024277,1
3784,2,copied_2700,0000000146dfea50,0.999668717,-0.0251153372,0.00566710532,1,0.0250062346,0.999514878,0.0185649898,1,-0.00613062084,-0.0184171256,0.999811769,1,0.0237859227,1.13703763,-0.0325024277,1
3784,2,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
4029,3,tracked_1690,0000000146dfea50,0.999637425,-0.0256474931,0.00820226967,1,0.0254878253,0.999494314,0.0190118887,1,-0.00868572295,-0.0187959373,0.999785662,1,0.0239413101,1.13718235,-0.0325843692,1
4029,3,copied_2700,0000000146dfea50,0.999637425,-0.0256474931,0.00820226967,1,0.0254878253,0.999494314,0.0190118887,1,-0.00868572295,-0.0187959373,0.999785662,1,0.0239413101,1.13718235,-0.0325843692,1
4029,3,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
4160,4,tracked_1690,0000000146dfea50,0.999638081,-0.0261329766,0.00640508533,1,0.0260180235,0.999509752,0.017417673,1,-0.00685711205,-0.0172447227,0.999827921,1,0.0237551406,1.13667536,-0.0330103487,1
4160,4,copied_2700,0000000146dfea50,0.999638081,-0.0261329766,0.00640508533,1,0.0260180235,0.999509752,0.017417673,1,-0.00685711205,-0.0172447227,0.999827921,1,0.0237551406,1.13667536,-0.0330103487,1
4160,4,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
4260,5,tracked_1690,0000000146dfea50,0.99966234,-0.0249691494,0.00722743571,1,0.024833234,0.999523699,0.0183215365,1,-0.00768147409,-0.0181358699,0.999806285,1,0.0239198059,1.13699126,-0.0331628919,1
4260,5,copied_2700,0000000146dfea50,0.99966234,-0.0249691494,0.00722743571,1,0.024833234,0.999523699,0.0183215365,1,-0.00768147409,-0.0181358699,0.999806285,1,0.0239198059,1.13699126,-0.0331628919,1
4260,5,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
4361,6,tracked_1690,0000000146dfea50,0.999655962,-0.0253583416,0.00672136247,1,0.0252410695,0.999536932,0.0169936325,1,-0.00714917481,-0.0168181323,0.999833107,1,0.0236867629,1.13662255,-0.0332604051,1
4361,6,copied_2700,0000000146dfea50,0.999655962,-0.0253583416,0.00672136247,1,0.0252410695,0.999536932,0.0169936325,1,-0.00714917481,-0.0168181323,0.999833107,1,0.0236867629,1.13662255,-0.0332604051,1
4361,6,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
4471,7,tracked_1690,0000000146dfea50,0.999667108,-0.0245077685,0.00807289779,1,0.0243598484,0.999542296,0.017938558,1,-0.00850881636,-0.017735932,0.999806583,1,0.023954669,1.13694763,-0.0333592445,1
4471,7,copied_2700,0000000146dfea50,0.999667108,-0.0245077685,0.00807289779,1,0.0243598484,0.999542296,0.017938558,1,-0.00850881636,-0.017735932,0.999806583,1,0.023954669,1.13694763,-0.0333592445,1
4471,7,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
5371,8,tracked_1690,0000000146dfea50,0.999587893,-0.0241729245,0.015487656,1,0.0240025558,0.999650359,0.0110936537,1,-0.0157504231,-0.0107173389,0.999818623,1,0.0251614284,1.13645697,-0.033838734,1
5371,8,copied_2700,0000000146dfea50,0.999587893,-0.0241729245,0.015487656,1,0.0240025558,0.999650359,0.0110936537,1,-0.0157504231,-0.0107173389,0.999818623,1,0.0251614284,1.13645697,-0.033838734,1
5371,8,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
5472,9,tracked_1690,0000000146dfea50,0.999613702,-0.0233746264,0.0150412917,1,0.0231968611,0.999660254,0.011886525,1,-0.0153140277,-0.011533021,0.999816298,1,0.0249981005,1.13657057,-0.0333722383,1
5472,9,copied_2700,0000000146dfea50,0.999613702,-0.0233746264,0.0150412917,1,0.0231968611,0.999660254,0.011886525,1,-0.0153140277,-0.011533021,0.999816298,1,0.0249981005,1.13657057,-0.0333722383,1
5472,9,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
