elapsed_ms,w,x,y,z
97,0,0,0,0
185,0,0,0,0
297,0,0,0,0
397,0,0,0,0
497,0,0,0,0
598,0,0,0,0
698,0,0,0,0
798,0,0,0,0
898,0,0,0,0
999,0,0,0,0
1099,0,0,0,0
1199,0,0,0,0
1299,0,0,0,0
1399,0,0,0,0
1500,0,0,0,0
1600,0,0,0,0
1700,0,0,0,0
1800,0,0,0,0
1902,0,0,0,0
2003,0,0,0,0
2105,0,0,0,0
2203,0,0,0,0
2304,0,0,0,0
2404,0,0,0,0
2504,0,0,0,0
2605,0,0,0,0
2706,0,0,0,0
2812,0,0,0,0
2911,0,0,0,0
3012,0,0,0,0
3112,0,0,0,0
3212,0,0,0,0
3313,0,0,0,0
3414,0,0,0,0
3513,0,0,0,0
3614,0,0,0,0
3714,-0.0431521982,-0.0187686626,-0.0913455635,0.0416056514
3814,-0.0413818806,-0.0186916701,-0.0920790061,0.039824158
3914,-0.042099297,-0.0173224043,-0.092355907,0.0406683534
4015,-0.042099297,-0.0173224043,-0.092355907,0.0406683534
4115,-0.0414002091,-0.0172606204,-0.0933493599,0.039958626
4214,-0.041079998,-0.0168554913,-0.0933478475,0.0396752805
4315,-0.040078789,-0.0168229807,-0.0942369252,0.0386610627
4415,-0.0386513621,-0.0176119804,-0.0954444185,0.037135154
4516,-0.0414472073,-0.0182793681,-0.0931847095,0.0399119854
4616,-0.0396471024,-0.0220234618,-0.0939473286,0.0377369076
4716,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
4816,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
4916,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5017,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5117,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5217,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5317,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5417,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5517,-0.0400419384,-0.0196777191,-0.0940367803,0.038355127
5617,-0.0399729311,-0.0183801856,-0.0941911861,0.0384070277
