elapsed_ms,w,x,y,z
96,0,0,0,0
200,0,0,0,0
298,0,0,0,0
398,0,0,0,0
498,0,0,0,0
598,0,0,0,0
698,0,0,0,0
799,0,0,0,0
899,0,0,0,0
999,0,0,0,0
1099,0,0,0,0
1200,0,0,0,0
1300,0,0,0,0
1400,0,0,0,0
1500,0,0,0,0
1600,0,0,0,0
1701,0,0,0,0
1801,0,0,0,0
1894,0,0,0,0
2005,0,0,0,0
2105,0,0,0,0
2194,0,0,0,0
2302,0,0,0,0
2405,0,0,0,0
2505,0,0,0,0
2606,0,0,0,0
2706,0,0,0,0
2806,0,0,0,0
2907,0,0,0,0
3007,0,0,0,0
3106,0,0,0,0
3207,0,0,0,0
3307,0,0,0,0
3408,0,0,0,0
3508,0,0,0,0
3608,0,0,0,0
3708,-0.0475406051,-0.0120246755,-0.0654130504,0.0468518138
3808,-0.0475406051,-0.0120246755,-0.0654130504,0.0468518138
3908,-0.0386267006,-0.00613432704,-0.056945242,0.0383391082
4009,-0.0387300104,-0.00397559768,-0.0592496321,0.0385620892
4109,-0.0387300104,-0.00397559768,-0.0592496321,0.0385620892
4209,-0.0371634513,-0.00248477235,-0.0552324764,0.0370828211
4309,-0.0382087976,-0.00612237304,-0.0547893643,0.0379298627
4410,-0.0421542376,-0.00714186579,-0.053059075,0.0418334603
4510,-0.0384200513,-0.0048519331,-0.0513984077,0.0382209271
4610,-0.0374681205,0.000498330046,-0.050900463,0.0375421494
4710,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
4810,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
4911,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5011,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5111,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5212,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5312,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5412,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5511,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5612,-0.034759149,0.00230358122,-0.0491574965,0.0349144638
5712,-0.0402684957,-0.00237290235,-0.0698219389,0.0402009189
5813,-0.0411596596,-0.00270982133,-0.0737068579,0.0410716683
5913,-0.0424024761,-0.00147743011,-0.074145779,0.042409718
6013,-0.0410346389,0.00315946876,-0.0736589134,0.0413793921
6113,-0.0405565351,0.00339642609,-0.0770160332,0.0409392565
6213,-0.036364466,0.00388059905,-0.0785859153,0.0367826819
6314,-0.0305634141,0.0072533451,-0.0851149932,0.0312932283
6414,-0.0325403512,0.00686848862,-0.0903104767,0.0332955867
6513,-0.0336135328,0.00169085804,-0.0875544176,0.0338916183
6614,-0.0371640176,-0.00180101651,-0.0855086446,0.0371461213
6715,-0.0409130752,-0.00359126437,-0.0857554451,0.0407552272
6815,-0.0405778438,-0.00143899769,-0.0815990418,0.0405958742
6914,-0.0393609703,0.00287113641,-0.0872518048,0.0397627801
7015,-0.0351117402,0.00436909404,-0.0844705179,0.0356074721
7115,-0.0346287638,0.00657314667,-0.0880245045,0.0353434831
7215,-0.037013188,0.00810067449,-0.0878946409,0.0378700346
7316,-0.0347433984,0.00650634011,-0.0879893899,0.0354522914
7416,-0.0378376693,0.00197979528,-0.0856179148,0.0381470323
7515,-0.0409321338,0.00284223957,-0.0868448019,0.0413347781
7616,-0.0362463593,0.00397882098,-0.0867702216,0.0367295891
7717,-0.038468644,0.000823386828,-0.0869405046,0.038686648
7818,-0.0443954021,-0.0013716711,-0.0896149799,0.0444514304
7918,-0.0415395945,-0.00217257626,-0.0897672176,0.0415122211
8018,-0.0449678749,-0.00418407982,-0.090711534,0.0447729081
8117,-0.0477950573,-0.00616604416,-0.0924887657,0.0474278182
8218,-0.046613723,-0.00601212634,-0.0897498801,0.0462605357
8319,-0.0425943732,-0.00449868897,-0.0901627317,0.0423612148
8419,-0.0473508537,-0.00662478153,-0.0911613777,0.0469420105
8519,-0.0443732738,-0.00817534421,-0.0929657146,0.0438021868
8619,-0.0484657437,-0.00643194467,-0.0928831473,0.0480758399
8719,-0.0464047641,-0.00774676772,-0.0952920541,0.0458747298
8820,-0.0488688797,-0.00751014566,-0.0953316614,0.0483727157
8920,-0.0461326092,-0.00597206596,-0.0965059325,0.0457696915
9020,-0.0460310578,-0.0049061249,-0.0940670967,0.0457724333
9120,-0.0464617014,-0.00516961468,-0.0952659845,0.0461791307
9220,-0.0469360948,-0.00595790939,-0.0937579125,0.0465824455
9320,-0.0471017957,-0.00477767922,-0.0966391265,0.0468593836
9421,-0.0466305315,-0.00512744999,-0.0937161073,0.0463539511
9521,-0.046242401,-0.00290334318,-0.0952007473,0.0461758077
9621,-0.0440214127,-0.00344255078,-0.0959549695,0.04389368
9721,-0.0459707677,-0.00490664737,-0.0949491933,0.0457113683
9821,-0.0474794358,-0.00724113826,-0.0934797972,0.0470078588
9922,-0.047233209,-0.00687434943,-0.0967848599,0.0467871428
10022,-0.0439969748,-0.00342003279,-0.0952468589,0.0438707173
10122,-0.0436795354,-0.00247383607,-0.0969970152,0.0436454564
10223,-0.0449622422,-0.00532026496,-0.0933379754,0.0446604937
10322,-0.047620967,-0.00725229876,-0.0907299817,0.0471569747
10423,-0.0457385331,-0.00494701043,-0.0952092782,0.0454740375
10523,-0.0450961143,-0.00544869294,-0.0916205049,0.0447850972
