elapsed_ms,w,x,y,z
97,0,0,0,0
200,0,0,0,0
297,0,0,0,0
398,0,0,0,0
498,0,0,0,0
598,0,0,0,0
698,0,0,0,0
798,0,0,0,0
899,0,0,0,0
999,0,0,0,0
1099,0,0,0,0
1199,0,0,0,0
1299,0,0,0,0
1400,0,0,0,0
1500,0,0,0,0
1600,0,0,0,0
1700,0,0,0,0
1801,0,0,0,0
1893,0,0,0,0
2000,0,0,0,0
2105,0,0,0,0
2204,0,0,0,0
2301,0,0,0,0
2405,0,0,0,0
2505,0,0,0,0
2606,0,0,0,0
2706,0,0,0,0
2806,0,0,0,0
2907,0,0,0,0
3008,0,0,0,0
3108,0,0,0,0
3207,0,0,0,0
3307,0,0,0,0
3408,0,0,0,0
3508,0,0,0,0
3608,0,0,0,0
3709,0,0,0,0
3809,0,0,0,0
3909,-0.0184396058,-0.00374810863,-0.130389854,0.0181054175
4009,-0.0188661367,-0.00504063722,-0.130255505,0.0183659047
4110,-0.0192353576,-0.00564488163,-0.131218001,0.018655777
4210,-0.0192353576,-0.00564488163,-0.131218001,0.018655777
4309,-0.0184151679,-0.00360461464,-0.129518434,0.0181007087
4410,-0.0175884366,-0.0015437688,-0.125857696,0.0175335407
4511,-0.0161251873,-0.00106827787,-0.126171514,0.0161192417
4610,-0.0181517005,-0.00231394637,-0.124742731,0.0180036724
4711,-0.0167573243,-0.00121777342,-0.125103921,0.0167364776
4811,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
4911,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5012,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5112,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5212,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5313,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5413,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5513,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5613,-0.0159276426,-0.00124561798,-0.125044435,0.0158966631
5714,-0.0157064497,0.00133551471,-0.122536056,0.0159905702
5814,-0.0155665129,0.00160141883,-0.121975228,0.015880391
5913,-0.0152808279,0.00177706487,-0.121789545,0.0156134367
6014,-0.0154653788,0.00214838493,-0.120650232,0.0158402473
6115,-0.0133567899,0.00371491862,-0.121719725,0.0139122754
6215,-0.0120574683,0.00665138382,-0.119483255,0.012944594
6315,-0.0129189491,0.00565142883,-0.120689921,0.0137009025
6415,-0.00815269351,0.00730113918,-0.121266834,0.00910502672
6515,-0.0157830566,0.00467929849,-0.123028882,0.0164837241
6616,-0.0113498271,0.00738234352,-0.121709891,0.0123396814
6715,-0.00945943594,0.00812797248,-0.12053474,0.0105154514
6816,-0.0143184215,0.00578861544,-0.118591271,0.0151112229
6916,-0.0131150931,0.00602694089,-0.11907085,0.0139315128
7016,-0.0105398744,0.00809073914,-0.12123888,0.0116060078
7117,-0.0103800595,0.0101101454,-0.12239594,0.0117049068
7217,-0.0104735941,0.00926718209,-0.118650205,0.0116549581
7316,-0.0112898201,0.00833038706,-0.123679332,0.012414977
7416,-0.0110629946,0.00797886774,-0.122360401,0.012130022
7517,-0.011234954,0.00847716071,-0.120132841,0.0123422593
7617,-0.0102150738,0.00841758866,-0.121480174,0.0113210678
7717,-0.0119021088,0.00816923846,-0.122074142,0.0129960775
7818,-0.0103963464,0.00874790922,-0.124021299,0.0115701258
7918,-0.00976343453,0.00853586197,-0.12276905,0.0108933747
8019,-0.0115359873,0.00852706563,-0.122356728,0.0126740336
8118,-0.00954830647,0.00787012465,-0.124017894,0.0106059015
8219,-0.0083578378,0.00935507007,-0.122275099,0.0095731616
8319,-0.0101355165,0.00885897223,-0.125063643,0.0113319606
8419,-0.0085850507,0.00751088653,-0.123934686,0.00958955288
8520,-0.0106870681,0.00860621408,-0.124277063,0.0118480176
8620,-0.0101259649,0.00641268911,-0.122871876,0.0109969676
8720,-0.0117771626,0.00650081085,-0.123201437,0.0126743168
8820,-0.0100758821,0.00836929027,-0.121737376,0.0111774504
