elapsed_ms,w,x,y,z
97,0,0,0,0
200,0,0,0,0
297,0,0,0,0
398,0,0,0,0
498,0,0,0,0
598,0,0,0,0
698,0,0,0,0
798,0,0,0,0
899,0,0,0,0
999,0,0,0,0
1099,0,0,0,0
1199,0,0,0,0
1300,0,0,0,0
1400,0,0,0,0
1500,0,0,0,0
1600,0,0,0,0
1701,0,0,0,0
1801,0,0,0,0
1904,0,0,0,0
2005,0,0,0,0
2105,0,0,0,0
2199,0,0,0,0
2302,0,0,0,0
2406,0,0,0,0
2506,0,0,0,0
2606,0,0,0,0
2707,0,0,0,0
2806,0,0,0,0
2907,0,0,0,0
3007,0,0,0,0
3107,0,0,0,0
3207,0,0,0,0
3307,0,0,0,0
3407,0,0,0,0
3508,0,0,0,0
3608,0,0,0,0
3708,0.0700404793,-0.00510452036,-0.115135528,-0.0710986257
3808,0.0516217947,-0.0119658811,-0.140878081,-0.053838402
3909,0.0384817272,0.000337080797,-0.165719837,-0.0389646739
4009,0.0384817272,0.000337080797,-0.165719837,-0.0389646739
4109,0.00536561012,0.0041281376,-0.182725027,-0.00469022989
4209,0.0107631236,0.00678443396,-0.185063317,-0.0096745044
4310,0.00436228514,0.00292981719,-0.185003757,-0.00388734043
4410,0.000973537564,0.00110778119,-0.188601494,-0.000778585672
4510,-0.00470341742,-0.00507216761,-0.195662633,0.00378404558
4610,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
4710,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
4811,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
4912,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5012,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5111,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5211,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5312,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5412,-0.00641527772,-0.00542449718,-0.196888998,0.0054539144
5512,-0.00823669136,-0.0144292871,-0.203475624,0.00541312993
5613,-0.0117633194,-0.0115820169,-0.204096407,0.00960087776
5712,-0.0166445524,-0.0117344921,-0.196970537,0.0146187395
5813,-0.012740165,-0.0116921645,-0.192697212,0.0106866956
5913,-0.0133513361,-0.0130282091,-0.187374353,0.0111059397
6013,-0.015311569,-0.0135618784,-0.190215319,0.0129674971
6114,-0.0193920434,-0.0108820731,-0.189281449,0.0176505297
6214,-0.0201289952,-0.0129661048,-0.184633359,0.01804398
6314,-0.0243458003,-0.0127295963,-0.179517999,0.0224235356
6414,-0.0253355652,-0.0154484063,-0.184135705,0.0228800029
6514,-0.0234221369,-0.014070265,-0.189087301,0.0211413503
6614,-0.0206937045,-0.0123610329,-0.189694464,0.0186870694
6715,-0.0229149312,-0.013063442,-0.183495998,0.0208708346
6815,-0.0226271749,-0.0142305503,-0.186390787,0.0203293264
6915,-0.0240995437,-0.0153912539,-0.186590597,0.0216049999
7015,-0.0253424942,-0.0154021038,-0.185023963,0.02288571
7115,-0.0233135372,-0.0118355826,-0.18182908,0.0215191245
7215,-0.0229881555,-0.0116060348,-0.17672044,0.0212708712
7316,-0.0238285959,-0.012659465,-0.177245617,0.0219306797
7416,-0.0260469317,-0.0163757149,-0.176349983,0.0235251933
7516,-0.0272504687,-0.0164279044,-0.176964834,0.0247309506
7616,-0.0254003704,-0.016925551,-0.17745325,0.0227552503
7716,-0.0271517932,-0.0167589746,-0.176870778,0.0245722234
7817,-0.0263065547,-0.0154145565,-0.178159073,0.0239410698
7917,-0.0277494788,-0.0160057861,-0.175459236,0.0253314972
8017,-0.0270345807,-0.0138406958,-0.178276807,0.0249652714
8117,-0.02451545,-0.0118915336,-0.177882731,0.0227620453
8217,-0.0259571075,-0.0122219827,-0.178924173,0.0241589248
8318,-0.0264651924,-0.0124058938,-0.178330213,0.0246465951
8418,-0.0264082849,-0.0121784555,-0.180002943,0.0246169865
8518,-0.026787892,-0.0120075718,-0.17930077,0.025039494
8618,-0.0274152905,-0.0116896834,-0.178603664,0.0257402062
