elapsed_ms,w,x,y,z
101,0,0,0,0
199,0,0,0,0
298,0,0,0,0
398,0,0,0,0
498,0,0,0,0
598,0,0,0,0
699,0,0,0,0
799,0,0,0,0
899,0,0,0,0
999,0,0,0,0
1099,0,0,0,0
1200,0,0,0,0
1300,0,0,0,0
1400,0,0,0,0
1500,0,0,0,0
1600,0,0,0,0
1701,0,0,0,0
1801,0,0,0,0
1900,0,0,0,0
1992,0,0,0,0
2105,0,0,0,0
2206,0,0,0,0
2306,0,0,0,0
2405,0,0,0,0
2505,0,0,0,0
2606,0,0,0,0
2706,0,0,0,0
2807,0,0,0,0
2906,0,0,0,0
3007,0,0,0,0
3107,0,0,0,0
3206,0,0,0,0
3307,0,0,0,0
3408,0,0,0,0
3508,0,0,0,0
3608,0,0,0,0
3709,0,0,0,0
3808,0,0,0,0
3909,-0.0287549496,-0.00514258398,-0.131055608,0.0283251852
4008,-0.0293373764,-0.00490947301,-0.131715059,0.0289428234
4109,-0.0293997675,-0.00496973889,-0.13191247,0.0289975107
4209,-0.0293997675,-0.00496973889,-0.13191247,0.0289975107
4310,-0.0277972668,-0.00384913874,-0.129933193,0.0275305212
4410,-0.0274302065,-0.00326146651,-0.129402533,0.0272371918
4510,-0.0273574591,-0.00332596689,-0.129252002,0.0271553695
4610,-0.0276621729,-0.00332744839,-0.129975274,0.0274626613
4711,-0.0276577175,-0.00320175639,-0.130753651,0.0274749696
4811,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
4911,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5011,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5111,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5211,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5312,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5412,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5512,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5613,-0.0271862596,-0.0019692725,-0.130171016,0.0271610618
5713,-0.0291763097,-0.00335834152,-0.133615181,0.0289875269
5813,-0.0288452953,-0.00313167996,-0.134283945,0.0286845863
5914,-0.0287098587,-0.00274484069,-0.137810498,0.0286045521
6014,-0.0281924605,-0.00205167173,-0.13431938,0.0281722248
6113,-0.0283062309,-0.00118431775,-0.134552598,0.0284052193
6213,-0.0250529796,0.000205844917,-0.133867115,0.025308311
6314,-0.0257204175,0.00081817992,-0.133542955,0.0260630548
6414,-0.0259394795,0.000897880411,-0.133062989,0.0262927264
6515,-0.025166899,0.000828196004,-0.132531941,0.0255015641
6615,-0.0246000737,0.0017883312,-0.132893488,0.0250598937
6715,-0.0233371854,0.00269651762,-0.133394971,0.0239104033
6815,-0.0235563517,0.00268233032,-0.13248384,0.0241241753
6915,-0.0230979025,0.00433499133,-0.130648077,0.0238684714
7016,-0.0219207853,0.00398324011,-0.129879296,0.0226294845
7116,-0.0231667459,0.00375283719,-0.130862311,0.0238627642
7216,-0.020498991,0.00550048146,-0.131754145,0.0214098692
7316,-0.0197688043,0.00655971933,-0.131443754,0.0208110064
7416,-0.020125851,0.00691209314,-0.131904647,0.021222353
7517,-0.0203638673,0.00622499222,-0.13022466,0.0213558078
7617,-0.0219965875,0.00600462407,-0.130289555,0.0229741633
7717,-0.0190915614,0.00747876149,-0.130504861,0.0202399492
7817,-0.0201451182,0.00765580079,-0.129963666,0.0213201046
7917,-0.0205160677,0.00689844228,-0.129152149,0.0215871483
8017,-0.0204519331,0.00607776083,-0.129194185,0.0214160681
8118,-0.0208622217,0.00639331993,-0.130382061,0.0218819678
8218,-0.0191820562,0.00701209856,-0.128366143,0.0202490389
8318,-0.0197111666,0.00748668564,-0.129295975,0.0208534598
8418,-0.0200266689,0.00628122967,-0.128082424,0.0210036337
8519,-0.0207122564,0.00615133438,-0.128626913,0.0216830373
8619,-0.0207510144,0.0063909255,-0.128155425,0.0217487961
8719,-0.0209752619,0.00625092816,-0.127606317,0.0219517797
8819,-0.0212084204,0.00641337782,-0.12812981,0.0222126245
8919,-0.0207886845,0.00790720154,-0.129562691,0.0219976902
9019,-0.0204228759,0.00821965374,-0.128765598,0.0216607004
9119,-0.0211917013,0.00784777012,-0.126475021,0.0223629475
9219,-0.0219449997,0.0059489375,-0.129326448,0.0229061395
9319,-0.0229733586,0.00542801153,-0.126844347,0.0238540173
9420,-0.0249519944,0.00452111242,-0.12787503,0.0257410258
9520,-0.023763001,0.00416551158,-0.12749961,0.0244936496
9620,-0.0253899544,0.00379905407,-0.126817375,0.0260819644
9720,-0.0248178989,0.00412437273,-0.126117468,0.0255416185
9821,-0.0242137909,0.00432507973,-0.125189468,0.0249511451
9921,-0.0236257017,0.00572055113,-0.124361172,0.024526909
10021,-0.0234878957,0.00551619148,-0.125368237,0.0243711621
10122,-0.0240903348,0.00511186011,-0.126874834,0.0249399394
10222,-0.0229042917,0.0052558626,-0.128886119,0.0237795413
